股票代码,股票简称,行业名称1,报表类型编码,托宾Q值A,EVA率口径一,销售EVA率口径一,现金流到期债务保障倍数,净资产收益率增长率A,营业利润增长率A,现金股利保障倍数,盈利波动性,应付账款周转率A,净利润现金净含量,营运指数,市盈率PE1,Oscore,Zscore
766,公司0766,专用设备,A,3.364460489071494,0.035929093463326386,0.11597824992755093,18.853233816585252,14.56979621403556,7.466522321149959,,0.12310063552883384,,8.64433490586826,8.147299285752519,16.984849758566767,-9.056257181412994,3.7834208194960075
161,公司0161,批发零售,A,6.020284430295444,-0.016148032419188,-0.12719539326531248,40.70522723262533,-5.316881346811867,-13.411763071885876,,0.0959818007879378,,6.576332437930171,9.380873180525525,31.602847710429465,-8.624893288716642,3.2096389944939876
24,公司0024,计算机软件,A,0.9553211832199638,0.012520252297803493,0.06131710605629792,71.19734271546324,2.845122455416987,-22.659043696219847,,0.04366890893916602,4.218099847973835,11.482184705246967,5.19940755832353,7.0669366728439345,-9.670251715401383,4.376795674206433
576,公司0576,房地产,A,4.155465222989483,0.027915996467624642,0.046094798457792546,-99.97607168059018,5.596296848872588,11.612605369574954,,0.22268303601445685,3.3120117274998866,3.902901925306582,-1.9342814602025278,10.463280897279752,-6.329813135281151,1.4763059943656711
329,公司0329,交通运输,A,1.569832259483205,-0.031760993420064575,0.08460918047234427,24.211545139065613,-13.509375152637453,-4.155937638787264,,0.10281461216824804,2.990336521851966,-0.44359424083284216,0.14572418094087958,10.637692780554149,-7.888577243198401,2.4644009518263594
421,公司0421,化学制品,A,3.4214924186480564,-0.02047298780212075,-0.1466645385484261,3.035929832181325,-9.276890740067532,-7.380993087630976,,0.10976988107655593,6.150961013850124,2.7291788141709166,5.679652594226326,14.094931859910927,-7.5667190108632605,2.290255671555983
72,公司0072,专用设备,A,2.083920931872829,0.07984453926530445,0.0751393091415359,-48.18095842942028,16.32534656530664,-5.411710462359808,-1.113081918513912,0.10260824279454343,1.2007222742298498,7.886091140211394,-0.00752018330656945,4.1739521243704685,-8.193071556253653,2.991122131830174
334,公司0334,食品饮料,A,3.5821365873327693,-0.01952809660686006,-0.019511000034853166,-24.234641431947985,-3.136497809128504,13.950627037157199,,0.07105550021041232,2.397503977858235,4.8525563236507585,0.18193179075182353,13.607240432899061,-7.610250669825849,2.506375990857955
579,公司0579,批发零售,A,2.5147774218510572,-0.06921851655768116,-0.20565259564498567,-51.24631046414157,23.053035860013864,19.70901005667244,,0.18375863467953135,5.164619551627259,-0.05934235650913272,2.669463049455924,14.378073895322245,-6.094382121504472,0.6832387000837908
320,公司0320,货币金融服务,A,7.458301016607297,0.02472385782748302,0.14532307036514763,49.10066054722509,5.379679398226161,-11.091062226510845,,0.017973691585313464,4.254652100843835,3.9545854576226462,4.634204378501851,11.145140536918596,-10.971079260371933,4.898512280226424
748,公司0748,专用设备,A,1.9485249838448189,0.007840870427330494,0.0034563195817435555,-19.360120150081023,-14.600815443256828,5.163927828315211,6.67699309173505,0.14785074765893974,4.454066321638258,5.9408795919947055,4.15909327773533,14.573494758860855,-7.912518968147701,2.934852528903839
711,公司0711,货币金融服务,B,1.5687090395649155,0.10205968596199083,0.2093890428551971,14.579000257032579,14.519436198980884,,,0.1378408283174677,2.183136298286113,9.239382394556678,1.1202786474820217,3.464796841512174,-9.313836270512057,3.615174817799692
634,公司0634,交通运输,A,1.32572109871943,-0.01421918516352137,0.06012687624956038,-30.34059415495971,-5.929665193587773,-15.94671886330063,,0.11793043509732967,,-0.5437996217163339,2.034786840527768,3.5372612504422007,-5.158721603529701,0.28947178610841334
814,公司0814,交通运输,A,2.1093187920331085,-0.048831332499950544,0.014460280948488446,39.71847892615099,-3.160442651188807,,,0.07753295354462102,1.0381821085249838,6.706423630051441,6.838179144132301,12.75962552940266,-7.327322661976532,2.6149797252928333
649,公司0649,医药制造,A,3.470917046639689,-0.0629569788735658,-0.12236248511627384,-11.777440131074705,6.6283210473228,8.574204795621228,,0.1506629937617323,3.1904634274517227,0.5994930894114932,0.22067441803849608,18.69640589825254,-6.693461989833174,1.498924221262303
160,公司0160,化学制品,A,0.8410627732730322,-0.10276923863776033,-0.34710652927739694,118.61980970300002,-10.711909170799323,-18.20911941114386,,0.18699503869831324,,4.432003943952385,6.9140231572890745,4.84007683729272,-7.7639340461645805,2.6814575716747235
772,公司0772,货币金融服务,A,1.8448716925570803,0.010097788659023464,-0.03317582156299624,4.6087216326795595,-1.17606003415196,5.2146616066181695,,0.12224220217093576,13.896111977584296,5.064844034948229,5.608511560648333,15.519773901414176,-8.543465979458892,3.6858143827377146
587,公司0587,化学制品,A,1.7399191191969685,0.11751610942149696,0.23417970812752142,,-10.715401488409983,15.137214906852051,-0.7761081959834573,0.15199491559617223,,10.517453688615745,2.2933972960340068,3.4663821400587453,-10.201494959233056,4.806426141080905
89,公司0089,计算机软件,A,1.2860063624007896,-0.006888350899586599,0.16835731820365504,-1.6888611752141038,19.53945831461642,22.101507669400117,2.1568302393332264,0.11595397594394387,6.93724767420634,2.873315554349518,4.029620111847316,7.093837593242061,-7.165716393647794,2.187986409620046
269,公司0269,交通运输,A,3.3689748927905376,-0.030761248278486444,-0.04962053937910543,38.652039149913776,-12.151127003627977,8.437152860577223,,0.13770314138504003,4.097446996405719,10.63696427536919,6.720661949317805,7.135737352855682,-9.04733086028307,3.479528670309499
149,公司0149,房地产,A,3.402576483759479,-0.034405502257488806,-0.13123974191045285,13.21698906060898,-10.245751449740817,-13.88166835695666,,0.27151644967250144,2.4499503363236084,2.5669556687546393,9.16004736570416,11.975974147319565,-7.486742225736188,2.7587627024453085
870,公司0870,化学制品,A,3.1651509392836594,0.013848201853154739,0.16467626056459808,-8.850924469129133,23.487346313694303,16.21255359870804,,0.182172318155318,4.4942764615142075,11.956304211242763,4.757703409964147,13.96606846886027,-9.750892903170836,4.229828954787258
655,公司0655,房地产,A,1.8180310992643007,-0.04656497227584325,-0.031875085508132395,57.082788681602864,7.261001721828819,-0.8942077422317825,,0.10015900347058536,2.937843902050382,3.5436699705614894,3.142428857442006,15.12903024015831,-8.687641784366496,3.337730916786881
827,公司0827,专用设备,A,2.1460471863282238,-0.010069807389272347,-0.0028823492943745727,-42.562068682605045,-5.6279424474012085,-6.462464340905624,,0.14212665577419975,3.6769179299879347,6.668417996292687,2.7912989063464106,8.613554567286144,-6.228536447034115,0.9683614723066227
254,公司0254,食品饮料,A,5.218380870131841,0.008002857338684392,0.014560703934688494,22.961668290048095,-4.622504550473479,,1.1775334814930338,0.14451214860159078,2.5970029881806824,5.357082498761569,3.674502979238453,12.990152103244915,-8.538516094406948,3.071148815766796
572,公司0572,电气机械,A,1.6280072781118669,0.052946887287606804,0.11815200153388061,-51.873880692782464,-14.349957263654344,-3.3962814756577306,,0.15903670123337488,2.092845103809002,5.433820590999149,-0.3583911711238068,11.541661972126954,-5.715264725191265,0.7662127778266449
544,公司0544,批发零售,A,0.9173335727743385,0.06473434130067986,-0.04834231632700378,0.8284916015543149,,-0.5449180237167504,,0.2990181236348979,5.193857131021499,5.287597719943028,3.4916539041846737,6.982840946883429,-7.792634604128503,2.7221265871963807
677,公司0677,批发零售,A,2.021416643336813,0.05281709119002713,0.12710498608641943,,1.3671313959681815,1.4494855776612656,,0.1565626882315954,2.9572413593859816,12.656184680984977,7.136864490432877,10.98740770479925,-9.946521630099332,4.629631970100261
107,公司0107,电气机械,B,2.185506540295682,0.10494429888991322,0.3193298960927077,0.7422387717254626,11.340324097529086,33.36478696206765,,0.11544935073521381,1.57539491594313,4.444921553283994,3.006552913724097,6.700876347311935,-7.97720232775498,2.9542118132417166
464,公司0464,专用设备,B,5.132791896755257,-0.027312703923190924,0.13752984374026844,17.898981202253754,-9.617996630401489,7.658096092445972,,0.09934718284017141,1.3625580570489588,3.5061848098639414,2.5459726619028196,20.516360688682145,-8.576299974024852,2.971699079192703
580,公司0580,批发零售,A,7.5436788157083425,0.06725025986635723,0.10103514956116633,29.340782408694793,2.4751730315110163,14.242394046678605,,0.1047169281776175,2.132352986136865,8.364355279174386,5.18935464918993,16.767643972260334,-10.771147180747905,5.0667713342482745
743,公司0743,电气机械,B,3.542589634035864,0.09546776271551828,0.0667148209937091,23.410968062342693,-22.919397132624603,9.082271086017194,,0.1926551629918879,6.925973876692579,5.740767362783189,6.585146885153196,14.098492752395174,-10.911031882365323,5.094657459267452
590,公司0590,货币金融服务,A,2.780335558179424,0.05171567677953845,0.0995641836798132,2.174992957991307,-10.270294120870304,8.216418560831677,,0.10760136356741479,,4.531889661853631,5.209851404832095,9.444971605020664,-8.46007726230834,3.649458356825754
404,公司0404,食品饮料,A,1.8354543341707081,0.027525906659207545,0.16219548720161145,29.041063083235716,12.562017955333147,-8.405343641255506,,0.05343908855775985,2.1490797924904674,8.579439478115178,3.022105180843724,19.625363495483363,-10.022094257907666,4.639934082590575
414,公司0414,医药制造,A,2.2899542051059676,0.0733456508313505,0.036947783132488324,-45.94729898594951,-11.705070853010827,-14.380837079693006,,0.12192706722261552,2.165544543106208,3.334672307502175,3.4668647490313242,10.029195992539915,-8.463512081442138,3.024862388543751
305,公司0305,专用设备,A,3.8571956673869496,0.06429597796513138,0.3342839555462336,-40.80955675453217,1.0146254992795214,-4.3877938618227486,,0.1783935448638279,4.317362337494137,0.6381938989179226,2.023994205278917,6.305991366065156,-8.82125245962501,3.2877167848871807
142,公司0142,电气机械,A,2.125895025810195,-0.10700744332892947,-0.33539530275582585,52.86212460902008,-5.907491809875168,18.911547758143318,,0.2170522875198936,2.789676978496374,1.3328587286297042,5.820244708646353,34.803214803959605,-6.647258121275306,1.3223573640364235
250,公司0250,货币金融服务,A,4.885944123624599,-0.021248670844571185,-0.05803711329627401,12.715610615114045,-13.893955901384048,11.353131908829939,,0.09383117680651511,6.520136214719358,5.733637872550794,3.9667605062251794,14.117280850830907,-7.885371732332731,2.72657834248815
132,公司0132,食品饮料,A,3.855661962862472,-0.03655329483381431,-0.08115737265635542,-27.881774925972415,-8.492746625918334,3.9310425730174057,,0.0779439967647002,6.536126400010709,0.7009675218268752,2.161649135836482,20.21012355792717,-7.343106158337522,2.0710444018931136
204,公司0204,电气机械,A,1.0351855850122775,0.01088769970621281,0.140219666843073,56.67766168661797,-5.844564378029116,11.117785718223256,,0.14102700490354156,1.0261421595552758,6.813253294389716,5.896949699980477,12.38954394748686,-7.701196552943535,1.818294676588564
768,公司0768,房地产,A,3.3382772724584076,-0.04283003488035084,-0.021801289734221428,-0.32369898589659485,-5.579582992828521,-0.7709074927147741,,0.06957912949606912,3.3062298332678344,7.724025434414769,3.322777536788253,10.893031238399848,-8.747689741423612,3.2678070521560594
473,公司0473,专用设备,A,1.7238545701636054,-0.046811352098786924,-0.1327253586669978,75.45091232883723,,13.335880419528834,,0.14205898768859332,,6.856925585698897,7.018576163779756,7.377775012311188,-8.555065562408489,3.4574073556635105
83,公司0083,食品饮料,A,1.4226275806333781,-0.037302621643672734,-0.053254559939748564,67.20691159813664,1.2030610446099894,-2.299437756156397,7.381737480151017,0.04219365355680747,3.492023390891468,6.709793207445082,6.8154526122801595,5.900744804207868,-7.35653232647987,2.12869544565209
388,公司0388,交通运输,A,1.5479754157641297,-0.004746251059480893,-0.09796616576679998,9.875631032856678,9.097916006991479,-0.3420666438187574,,0.13570925439338088,2.3405337424440837,7.055121023484274,4.933641754956515,5.8907304510907945,-7.855084410315419,3.4182192428905864
244,公司0244,交通运输,A,2.395844772450742,-0.0005399125780310189,-0.025654668907303477,13.951252092855434,,,,0.09701130664325189,5.671134700690015,6.15156746686983,5.737131319605284,29.198385708841208,-8.398173006213304,3.074027286362504
597,公司0597,批发零售,A,6.026208807169627,0.030186843867756937,-0.012298489081395131,-17.394872397937295,6.6947259030631034,-16.580750056690245,,0.10100733381003173,1.9092745655407772,6.695477882253921,2.1361892598516548,9.313601820239294,-8.923121317270411,3.7660452123961536
747,公司0747,电气机械,A,2.4227701324892443,0.011587279719228918,0.05502467485386851,-29.89942272728318,7.611569893032398,-9.697287225247116,,0.27938253552314696,3.7156936958360385,4.97374039831046,2.6276135084820127,20.719381258199167,-7.915166436934391,2.821407077357835
12,公司0012,医药制造,B,3.7249624845587164,-0.061223880920597926,-0.06349885161649906,34.09274650707021,6.813015576142138,-0.34618526053194376,,0.08540918842759006,4.836526765010553,-0.43346434339028966,6.290187241013179,24.25309555224614,-6.529229906412169,1.540901256390856
419,公司0419,房地产,A,1.9369869057221383,0.02759189386077119,0.041095379713855545,-12.618139934411463,-6.014315947270553,8.472586373543953,,0.13227944122600893,3.916658104499465,3.556872877674861,2.4649654527922564,8.529936687116194,-8.068406736944425,2.5723341180779857
403,公司0403,食品饮料,A,2.402164011220214,-0.07130570965813675,-0.1648802638720634,27.61394251857381,9.423743956674247,,,0.08251377677499949,,5.504686738585184,3.685760189218579,5.186438902628854,-7.8497959221892355,2.544784022861071
891,公司0891,医药制造,A,1.7281150780480055,0.03259585304550534,0.06689552046856526,12.720183732496064,-11.386272854138952,-10.490722827429035,,0.0687481431019842,2.178045292754389,5.841111516155371,4.4968089674139495,4.5347353277263585,-7.686151181538402,2.552090280145948
329,公司0329,电气机械,A,1.5146917108269253,0.008117891040129426,-0.08130533253555168,80.3250890662886,-1.7034441362043227,-0.9675435859697155,,0.18024260794506217,8.238692295171989,10.76054470776349,6.203118423747731,4.534747805986447,-8.01425948068918,2.8488723017813316
149,公司0149,化学制品,A,2.170469273381114,0.06385960707555441,0.0526238588664019,-27.377178505252118,0.1716621974125081,-21.883976914621968,,0.19560684781929788,1.4163746071226182,5.232329021887316,0.9461565801335935,8.875769905801317,-7.378153050219765,1.6357556133336386
176,公司0176,交通运输,A,2.203237362625387,0.05441362881078585,0.18187895370685003,42.01264306082317,3.987251136349864,-2.2279287125489304,,0.1353138547234614,2.639223531205405,7.061695651439445,4.783744138860467,4.335852984604386,-9.141124432592132,3.819324775866337
430,公司0430,专用设备,A,0.9235727742018197,-0.06205888377826968,-0.1150417792566149,,4.195603219525618,3.2129528877343807,,0.11564124077530373,7.68078767800844,2.5786400770541835,4.7608915486481935,7.830636105665886,-6.363921426553921,1.4772273429662426
535,公司0535,电气机械,A,1.3977102741245433,-0.05988098539726785,-0.07526956929194742,28.655475183639684,13.751871694510136,3.5095585778436504,,0.1014443523145636,6.012690327530261,8.070891133915701,5.922848911249726,4.610233430782641,-6.569867922770265,1.305746847203809
294,公司0294,医药制造,A,1.5081864612958218,-0.12006411444867934,-0.32080168939185283,68.88884990672048,,19.690704550452004,,0.07274941490783197,1.9765243908098384,10.025431618877034,7.355284083986588,10.309542221345216,-8.173008636887321,2.8706912127434276
392,公司0392,交通运输,A,6.608740245346946,-0.10201252344532896,-0.10669399404704871,-58.35945408539001,9.00428145434908,20.321974269286724,-1.8533901447251786,0.12046227907358327,,0.7141517291855735,2.4359964374666334,18.63790388132261,-6.971075167468387,2.1946555334263707
597,公司0597,医药制造,A,2.0988080331629724,-0.055117257934140275,-0.11324372772154878,13.775064709374416,12.563093480969053,7.63764823580585,,0.07291242034608914,4.352504908195062,5.87412015558837,3.9790952092432654,12.740157621239426,-7.749940307751674,2.258319621821481
